ID,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,is_canceled,adr
98191,Resort Hotel,0,2017,May,18,5,0,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,0,0,0,62.501804
98192,Resort Hotel,0,2017,May,18,5,0,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,1,0,0,68.85319
98193,Resort Hotel,14,2017,May,18,5,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,1,0,65.3873
98194,Resort Hotel,6,2017,May,18,5,0,2,2,1.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,0,0,0,71.072815
98195,City Hotel,109,2017,May,18,5,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,42.0,,0,Transient,0,0,0,81.02988
98196,Resort Hotel,11,2017,May,18,5,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,0,2,0,67.115906
98197,City Hotel,175,2017,May,18,5,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,77.98376
98198,City Hotel,207,2017,May,18,5,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,0,1,0,79.804085
98199,City Hotel,179,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,0,0,0,75.62767
98200,Resort Hotel,214,2017,May,18,5,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,0,1,21.884832
98201,Resort Hotel,0,2017,May,18,5,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240.0,,0,Transient,0,1,0,73.74134
98202,Resort Hotel,0,2017,May,18,5,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,0,0,63.865284
98203,City Hotel,148,2017,May,18,5,1,2,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,0,0,0,123.334755
98204,City Hotel,147,2017,May,18,5,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,0,86.407745
98205,Resort Hotel,1,2017,May,18,5,0,2,2,0.0,1,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,1,2,0,69.37537
98206,Resort Hotel,1,2017,May,18,5,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,2,0,68.479355
98207,Resort Hotel,11,2017,May,18,5,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,1,1,0,80.27847
98208,Resort Hotel,5,2017,May,18,5,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,2,0,67.933975
98209,Resort Hotel,32,2017,May,18,5,1,2,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,0,0,0,57.906235
98210,Resort Hotel,4,2017,May,18,5,1,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,0,0,71.28888
98211,Resort Hotel,198,2017,May,18,5,1,2,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6.0,,0,Transient,0,1,0,34.099
98212,Resort Hotel,198,2017,May,18,5,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6.0,,0,Transient,0,1,0,34.099
98213,Resort Hotel,198,2017,May,18,5,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6.0,,0,Transient,0,1,0,34.099
98214,Resort Hotel,2,2017,May,18,5,1,2,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,1,0,70.84947
98215,Resort Hotel,207,2017,May,18,5,1,2,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,0,0,0,20.496395
98216,City Hotel,6,2017,May,18,5,1,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,0,1,0,125.83475
98217,Resort Hotel,214,2017,May,18,5,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,0,1,21.884832
98218,Resort Hotel,5,2017,May,18,5,0,2,1,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,1,0,54.38357
98219,City Hotel,169,2017,May,18,5,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,0,1,0,79.2594
98220,City Hotel,0,2017,May,18,5,0,0,0,0.0,0,SC,PRT,Complementary,Direct,1,0,0,C,C,0,No Deposit,,,0,Transient,0,0,0,29.008144
98221,City Hotel,108,2017,May,18,5,2,2,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,0,1,0,175.73619
98222,Resort Hotel,227,2017,May,18,5,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,240.0,,0,Transient,0,3,0,46.78597
98223,City Hotel,158,2017,May,18,5,2,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,3,0,111.985374
98224,City Hotel,7,2017,May,18,5,1,2,1,0.0,0,BB,HRV,Aviation,Corporate,0,0,0,A,A,0,No Deposit,,153.0,0,Transient,0,0,0,112.342224
98225,City Hotel,96,2017,May,18,5,1,2,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,0,1,0,178.0607
98226,City Hotel,327,2017,May,18,5,2,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,86.04815
98227,City Hotel,96,2017,May,18,5,1,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,1,0,150.4228
98228,City Hotel,144,2017,May,18,5,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,1,2,0,107.00827
98229,City Hotel,189,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,0,2,0,65.51968
98230,Resort Hotel,1,2017,May,18,5,0,1,1,0.0,0,BB,PRT,Direct,Direct,1,0,2,D,E,0,No Deposit,,,0,Transient,0,2,0,70.050186
98231,City Hotel,104,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,100.151886
98232,City Hotel,273,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,84,Transient-Party,0,1,0,58.271713
98233,City Hotel,120,2017,May,18,5,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,3,0,101.98308
98234,Resort Hotel,7,2017,May,18,5,1,2,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,0,1,0,98.071815
98235,Resort Hotel,1,2017,May,18,5,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,E,1,No Deposit,,,0,Transient,0,1,0,67.27151
98236,City Hotel,207,2017,May,18,5,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,0,1,0,79.804085
98237,Resort Hotel,19,2017,May,18,5,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,1,0,70.226585
98238,City Hotel,136,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,0,0,0,69.20345
98239,City Hotel,17,2017,May,18,5,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,122.21871
98240,City Hotel,93,2017,May,18,5,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,1,0,124.995285
98241,Resort Hotel,37,2017,May,18,5,0,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,1,0,66.89685
98242,City Hotel,6,2017,May,18,5,2,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,0,1,0,130.32997
98243,City Hotel,137,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,0,0,0,88.81185
98244,City Hotel,17,2017,May,18,5,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,122.21871
98245,City Hotel,17,2017,May,18,5,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,3,0,150.39496
98246,City Hotel,55,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,0,0,0,116.89287
98247,Resort Hotel,220,2017,May,18,5,0,1,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,0,1,0,22.48983
98248,Resort Hotel,220,2017,May,18,5,0,1,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,0,1,0,22.48983
98249,Resort Hotel,220,2017,May,18,5,0,1,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,0,1,0,22.48983
98250,City Hotel,87,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,4,0,131.08235
98251,City Hotel,121,2017,May,18,5,1,2,2,0.0,0,BB,CZE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,92.904945
98252,City Hotel,173,2017,May,18,5,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,1,0,97.263916
98253,Resort Hotel,36,2017,May,18,5,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241.0,,0,Transient,0,1,0,97.053764
98254,City Hotel,8,2017,May,18,5,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient,0,2,0,109.77061
98255,City Hotel,117,2017,May,18,5,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,100.9559
98256,Resort Hotel,116,2017,May,18,5,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient,0,0,0,46.000267
98257,City Hotel,172,2017,May,18,5,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,3,0,110.25384
98258,City Hotel,206,2017,May,18,5,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,82.307434
98259,City Hotel,206,2017,May,18,5,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,82.307434
98260,City Hotel,15,2017,May,18,5,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,128.8096
98261,City Hotel,233,2017,May,18,5,2,2,2,0.0,0,HB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,77.1432
98262,City Hotel,206,2017,May,18,5,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,82.307434
98263,City Hotel,182,2017,May,18,5,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,2,0,106.76638
98264,Resort Hotel,199,2017,May,18,5,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,40.0,,0,Contract,0,0,0,22.609613
98265,Resort Hotel,172,2017,May,18,5,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,0,3,0,25.92563
98266,Resort Hotel,172,2017,May,18,5,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,1,3,0,25.51717
98267,City Hotel,232,2017,May,18,5,2,2,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,0,0,117.145805
98268,City Hotel,117,2017,May,18,5,1,2,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,96.6561
98269,Resort Hotel,88,2017,May,18,5,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,0,0,0,38.450794
98270,City Hotel,165,2017,May,18,5,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,0,0,0,67.914116
98271,City Hotel,23,2017,May,18,5,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,123.00241
98272,City Hotel,15,2017,May,18,5,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,124.94
98273,City Hotel,99,2017,May,18,5,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,0,0,116.831764
98274,City Hotel,260,2017,May,18,5,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,65.72243
98275,City Hotel,175,2017,May,18,5,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,77.98376
98276,City Hotel,189,2017,May,18,5,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,0,0,0,64.81543
98277,City Hotel,189,2017,May,18,5,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,0,0,0,64.81543
98278,City Hotel,189,2017,May,18,5,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,0,0,0,64.81543
98279,City Hotel,81,2017,May,18,5,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,0,0,0,143.44273
98280,City Hotel,16,2017,May,18,5,1,2,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,1,0,142.3549
98281,City Hotel,81,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,0,0,0,143.44273
98282,City Hotel,99,2017,May,18,5,1,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,0,1,147.59639
98283,City Hotel,98,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,0,0,117.20842
98284,Resort Hotel,44,2017,May,18,5,1,2,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,0,2,0,77.366264
98285,City Hotel,85,2017,May,18,5,1,2,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,0,1,122.10477
98286,City Hotel,189,2017,May,18,5,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,0,0,0,64.81543
98287,City Hotel,102,2017,May,18,5,2,2,3,0.0,0,BB,CZE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,0,0,149.06427
98288,City Hotel,9,2017,May,18,5,2,2,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,129.92032
98289,Resort Hotel,35,2017,May,18,5,2,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,1,1,0,113.85992
98290,Resort Hotel,4,2017,May,18,5,2,2,2,0.0,0,BB,NZL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,2,0,84.36478
98291,Resort Hotel,214,2017,May,18,5,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,0,1,21.884832
98292,Resort Hotel,29,2017,May,18,5,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,1,0,68.37674
98293,Resort Hotel,5,2017,May,18,5,0,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,1,0,66.54157
98294,Resort Hotel,214,2017,May,18,5,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,0,1,21.884832
98295,Resort Hotel,214,2017,May,18,5,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,0,1,21.884832
98296,Resort Hotel,214,2017,May,18,5,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,0,1,21.884832
98297,City Hotel,206,2017,May,18,5,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,82.307434
98298,Resort Hotel,89,2017,May,18,5,1,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,0,0,1,84.67774
98299,City Hotel,207,2017,May,18,5,1,2,2,0.0,0,SC,ABW,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,0,1,0,71.9349
98300,City Hotel,39,2017,May,18,5,2,3,2,0.0,0,SC,UKR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,115.73898
98301,Resort Hotel,49,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,1,0,69.89529
98302,City Hotel,78,2017,May,18,5,2,6,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,0,2,0,120.09719
98303,City Hotel,102,2017,May,18,5,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,0,1,102.435455
98304,City Hotel,56,2017,May,18,5,2,6,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,0,0,1,96.39963
98305,Resort Hotel,51,2017,May,18,5,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,0,1,0,106.143394
98306,Resort Hotel,118,2017,May,18,6,2,5,1,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,0,1,1,39.352283
98307,Resort Hotel,115,2017,May,18,6,2,2,2,0.0,0,HB,NZL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,314.0,,0,Transient,0,0,0,52.595135
98308,Resort Hotel,116,2017,May,18,6,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,2,0,53.940483
98309,Resort Hotel,10,2017,May,18,6,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,1,0,76.692024
98310,Resort Hotel,84,2017,May,18,6,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,0,0,0,38.08946
98311,Resort Hotel,115,2017,May,18,6,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,1,1,65.52968
98312,Resort Hotel,23,2017,May,18,6,0,1,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient,0,0,0,62.05974
98313,Resort Hotel,16,2017,May,18,6,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,1,0,0,105.27095
98314,City Hotel,162,2017,May,18,6,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,0,0,1,46.373238
98315,City Hotel,18,2017,May,18,6,2,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,133.63324
98316,City Hotel,407,2017,May,18,6,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,0,0,1,64.396935
98317,Resort Hotel,9,2017,May,18,6,2,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,1,2,0,76.61726
98318,Resort Hotel,15,2017,May,18,6,2,6,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,1,0,0,58.459873
98319,Resort Hotel,85,2017,May,18,6,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,0,3,0,71.9605
98320,Resort Hotel,116,2017,May,18,6,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,1,1,0,101.05574
98321,Resort Hotel,1,2017,May,18,6,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,2,0,77.527435
98322,Resort Hotel,85,2017,May,18,6,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,0,1,0,73.901375
98323,Resort Hotel,95,2017,May,18,6,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,1,0,1,D,D,0,No Deposit,40.0,,0,Contract,0,1,0,75.32016
98324,Resort Hotel,10,2017,May,18,6,1,1,2,2.0,0,BB,PRT,Online TA,Direct,0,0,1,G,G,0,No Deposit,240.0,,0,Transient,1,3,0,126.576744
98325,Resort Hotel,152,2017,May,18,6,2,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,1,0,18.082924
98326,Resort Hotel,86,2017,May,18,6,4,6,2,2.0,0,BB,BRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,0,1,1,115.343094
98327,Resort Hotel,116,2017,May,18,6,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,1,0,46.01988
98328,Resort Hotel,0,2017,May,18,6,1,1,2,1.0,0,BB,NLD,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,0,0,0,124.27455
98329,City Hotel,25,2017,May,18,6,2,1,1,0.0,0,BB,FRA,Corporate,Corporate,1,0,1,E,F,0,No Deposit,,450.0,0,Transient,0,0,0,112.27237
98330,Resort Hotel,9,2017,May,18,6,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,0,1,0,70.98331
98331,Resort Hotel,79,2017,May,18,6,1,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0,2,0,66.89243
98332,Resort Hotel,69,2017,May,18,6,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,0,1,0,71.50969
98333,Resort Hotel,33,2017,May,18,6,4,8,2,2.0,0,BB,SVK,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,0,1,1,68.952866
98334,Resort Hotel,17,2017,May,18,6,2,6,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,0,0,1,118.49934
98335,City Hotel,407,2017,May,18,6,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,0,0,1,64.396935
98336,Resort Hotel,7,2017,May,18,6,2,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,0,1,0,77.30774
98337,City Hotel,162,2017,May,18,6,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,0,0,1,46.373238
98338,City Hotel,91,2017,May,18,6,2,5,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,0,0,0,106.00287
98339,City Hotel,156,2017,May,18,6,2,5,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0,1,0,65.5488
98340,City Hotel,99,2017,May,18,6,2,6,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,0,1,87.6392
98341,City Hotel,99,2017,May,18,6,2,6,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,0,0,1,91.15867
