,arrival_date,revenue,year,month,month_day,tm_yday
2016-9-22,2016-9-22,38534.356562905996,2016,9,22,266
2016-9-23,2016-9-23,27801.240866284556,2016,9,23,267
2016-9-24,2016-9-24,28090.683182503035,2016,9,24,268
2016-9-25,2016-9-25,45426.74966076138,2016,9,25,269
2016-9-26,2016-9-26,45146.70739694174,2016,9,26,270
2016-9-27,2016-9-27,25463.925369803004,2016,9,27,271
2016-9-28,2016-9-28,27135.11974001847,2016,9,28,272
2016-9-29,2016-9-29,24953.03924269102,2016,9,29,273
2016-9-30,2016-9-30,39968.94362383777,2016,9,30,274
2016-10-1,2016-10-1,23101.49987185349,2016,10,1,275
2016-10-2,2016-10-2,38695.496899748556,2016,10,2,276
2016-10-3,2016-10-3,37508.27729810653,2016,10,3,277
2016-10-4,2016-10-4,28303.524043206824,2016,10,4,278
2016-10-5,2016-10-5,25768.74859944754,2016,10,5,279
2016-10-6,2016-10-6,28618.70728813277,2016,10,6,280
2016-10-7,2016-10-7,35063.15179519128,2016,10,7,281
2016-10-8,2016-10-8,20743.304779044676,2016,10,8,282
2016-10-9,2016-10-9,31791.70901030212,2016,10,9,283
2016-10-10,2016-10-10,34633.138576049074,2016,10,10,284
2016-10-11,2016-10-11,21968.209034384694,2016,10,11,285
2016-10-12,2016-10-12,19728.54423529435,2016,10,12,286
2016-10-13,2016-10-13,26924.033629342066,2016,10,13,287
2016-10-14,2016-10-14,26809.416487895105,2016,10,14,288
2016-10-15,2016-10-15,21286.525972200798,2016,10,15,289
2016-10-16,2016-10-16,52004.52405805955,2016,10,16,290
2016-10-17,2016-10-17,34872.3428922505,2016,10,17,291
2016-10-18,2016-10-18,19487.214763962707,2016,10,18,292
2016-10-19,2016-10-19,21011.810697377616,2016,10,19,293
2016-10-20,2016-10-20,25366.3336212226,2016,10,20,294
2016-10-21,2016-10-21,30991.312780615208,2016,10,21,295
2016-10-22,2016-10-22,25141.48625667069,2016,10,22,296
2016-10-23,2016-10-23,41981.96531500905,2016,10,23,297
2016-10-24,2016-10-24,27809.747596920482,2016,10,24,298
2016-10-25,2016-10-25,28932.978185569664,2016,10,25,299
2016-10-26,2016-10-26,20510.07160922027,2016,10,26,300
2016-10-27,2016-10-27,20524.182756866445,2016,10,27,301
2016-10-28,2016-10-28,35584.79998158858,2016,10,28,302
2016-10-29,2016-10-29,37511.44216581378,2016,10,29,303
2016-10-30,2016-10-30,38079.93815926813,2016,10,30,304
2016-10-31,2016-10-31,30033.421662054432,2016,10,31,305
2016-11-1,2016-11-1,19380.12805550083,2016,11,1,306
2016-11-2,2016-11-2,24852.636949541844,2016,11,2,307
2016-11-3,2016-11-3,20231.224161044283,2016,11,3,308
2016-11-4,2016-11-4,24936.4145194318,2016,11,4,309
2016-11-5,2016-11-5,23918.39671503864,2016,11,5,310
2016-11-6,2016-11-6,43201.149811783755,2016,11,6,311
2016-11-7,2016-11-7,52451.43822449823,2016,11,7,312
2016-11-8,2016-11-8,14729.92269237214,2016,11,8,313
2016-11-9,2016-11-9,12676.412707544969,2016,11,9,314
2016-11-10,2016-11-10,24499.005234639717,2016,11,10,315
2016-11-11,2016-11-11,30290.63820951328,2016,11,11,316
2016-11-12,2016-11-12,25558.67907313568,2016,11,12,317
2016-11-13,2016-11-13,29454.683472121487,2016,11,13,318
2016-11-14,2016-11-14,30162.20173982173,2016,11,14,319
2016-11-15,2016-11-15,10942.461175012202,2016,11,15,320
2016-11-16,2016-11-16,18350.377493531316,2016,11,16,321
2016-11-17,2016-11-17,19248.238959886337,2016,11,17,322
2016-11-18,2016-11-18,27952.424627085922,2016,11,18,323
2016-11-19,2016-11-19,23188.116607762284,2016,11,19,324
2016-11-20,2016-11-20,15854.258528920776,2016,11,20,325
2016-11-21,2016-11-21,25851.780576491925,2016,11,21,326
2016-11-22,2016-11-22,8337.831265438685,2016,11,22,327
2016-11-23,2016-11-23,10906.345307884732,2016,11,23,328
2016-11-24,2016-11-24,15272.130204104342,2016,11,24,329
2016-11-25,2016-11-25,21702.85839275601,2016,11,25,330
2016-11-26,2016-11-26,14874.323346110643,2016,11,26,331
2016-11-27,2016-11-27,15345.340195957484,2016,11,27,332
2016-11-28,2016-11-28,13746.310448409014,2016,11,28,333
2016-11-29,2016-11-29,8290.724605974292,2016,11,29,334
2016-11-30,2016-11-30,8680.132605381854,2016,11,30,335
2016-12-1,2016-12-1,18255.662090693833,2016,12,1,336
2016-12-2,2016-12-2,19889.133447096196,2016,12,2,337
2016-12-3,2016-12-3,27734.002145140297,2016,12,3,338
2016-12-4,2016-12-4,15142.260206755813,2016,12,4,339
2016-12-5,2016-12-5,23293.063787708274,2016,12,5,340
2016-12-6,2016-12-6,9887.119494847002,2016,12,6,341
2016-12-7,2016-12-7,13076.613594904065,2016,12,7,342
2016-12-8,2016-12-8,32749.329806693007,2016,12,8,343
2016-12-9,2016-12-9,12763.634431190425,2016,12,9,344
2016-12-10,2016-12-10,12553.820288866267,2016,12,10,345
2016-12-11,2016-12-11,4645.846660859345,2016,12,11,346
2016-12-12,2016-12-12,7205.1023600436465,2016,12,12,347
2016-12-13,2016-12-13,8613.90176733551,2016,12,13,348
2016-12-14,2016-12-14,9069.443960135895,2016,12,14,349
2016-12-15,2016-12-15,7606.906741891019,2016,12,15,350
2016-12-16,2016-12-16,10168.094048241865,2016,12,16,351
2016-12-17,2016-12-17,15256.199003975813,2016,12,17,352
2016-12-18,2016-12-18,14338.979064633673,2016,12,18,353
2016-12-19,2016-12-19,13172.233161607577,2016,12,19,354
2016-12-20,2016-12-20,12387.070767385523,2016,12,20,355
2016-12-21,2016-12-21,17694.654945854574,2016,12,21,356
2016-12-22,2016-12-22,23733.34257960342,2016,12,22,357
2016-12-23,2016-12-23,22451.245309500802,2016,12,23,358
2016-12-24,2016-12-24,28179.654081340355,2016,12,24,359
2016-12-25,2016-12-25,16098.782004273111,2016,12,25,360
2016-12-26,2016-12-26,20519.025492624653,2016,12,26,361
2016-12-27,2016-12-27,33983.28230361176,2016,12,27,362
2016-12-28,2016-12-28,33209.19688374516,2016,12,28,363
2016-12-29,2016-12-29,29442.187970909312,2016,12,29,364
2016-12-30,2016-12-30,60518.613719957284,2016,12,30,365
2016-12-31,2016-12-31,19899.826441029887,2016,12,31,366
2017-1-1,2017-1-1,21081.90078095106,2017,1,1,1
2017-1-2,2017-1-2,30312.212280737273,2017,1,2,2
2017-1-3,2017-1-3,18325.332718257534,2017,1,3,3
2017-1-4,2017-1-4,10933.459321124657,2017,1,4,4
2017-1-5,2017-1-5,11651.146746848368,2017,1,5,5
2017-1-6,2017-1-6,14504.551998159312,2017,1,6,6
2017-1-7,2017-1-7,16545.19369512791,2017,1,7,7
2017-1-8,2017-1-8,14248.767392564632,2017,1,8,8
2017-1-9,2017-1-9,11436.780385164651,2017,1,9,9
2017-1-10,2017-1-10,6247.731641561203,2017,1,10,10
2017-1-11,2017-1-11,7945.930764189402,2017,1,11,11
2017-1-12,2017-1-12,12597.004222871115,2017,1,12,12
2017-1-13,2017-1-13,10814.434027898853,2017,1,13,13
2017-1-14,2017-1-14,15757.825199901034,2017,1,14,14
2017-1-15,2017-1-15,19909.56713576649,2017,1,15,15
2017-1-16,2017-1-16,30120.53293351493,2017,1,16,16
2017-1-17,2017-1-17,7675.921852506501,2017,1,17,17
2017-1-18,2017-1-18,22921.683724985378,2017,1,18,18
2017-1-19,2017-1-19,21822.6126300761,2017,1,19,19
2017-1-20,2017-1-20,10878.652109336415,2017,1,20,20
2017-1-21,2017-1-21,14021.140548169666,2017,1,21,21
2017-1-22,2017-1-22,19550.304081167073,2017,1,22,22
2017-1-23,2017-1-23,15088.67836596524,2017,1,23,23
2017-1-24,2017-1-24,9118.0393205849,2017,1,24,24
2017-1-25,2017-1-25,16346.920429896838,2017,1,25,25
2017-1-26,2017-1-26,12399.845225214418,2017,1,26,26
2017-1-27,2017-1-27,17875.0179158036,2017,1,27,27
2017-1-28,2017-1-28,13168.232261554289,2017,1,28,28
2017-1-29,2017-1-29,13356.635935432474,2017,1,29,29
2017-1-30,2017-1-30,14933.176381804595,2017,1,30,30
2017-1-31,2017-1-31,7582.440215327766,2017,1,31,31
2017-2-1,2017-2-1,6966.123151257112,2017,2,1,32
2017-2-2,2017-2-2,22788.1564038524,2017,2,2,33
2017-2-3,2017-2-3,7778.413233551949,2017,2,3,34
2017-2-4,2017-2-4,22630.71727600199,2017,2,4,35
2017-2-5,2017-2-5,25949.45558774426,2017,2,5,36
2017-2-6,2017-2-6,16026.23039408997,2017,2,6,37
2017-2-7,2017-2-7,9285.699361058469,2017,2,7,38
2017-2-8,2017-2-8,11405.780026675771,2017,2,8,39
2017-2-9,2017-2-9,23093.87300332448,2017,2,9,40
2017-2-10,2017-2-10,22176.706009779853,2017,2,10,41
2017-2-11,2017-2-11,20257.99976504157,2017,2,11,42
2017-2-12,2017-2-12,36598.97361212524,2017,2,12,43
2017-2-13,2017-2-13,34947.117647305844,2017,2,13,44
2017-2-14,2017-2-14,14546.876319334839,2017,2,14,45
2017-2-15,2017-2-15,23461.93771845407,2017,2,15,46
2017-2-16,2017-2-16,20243.60436041039,2017,2,16,47
2017-2-17,2017-2-17,21695.18066992239,2017,2,17,48
2017-2-18,2017-2-18,22940.843256845597,2017,2,18,49
2017-2-19,2017-2-19,30116.788527739074,2017,2,19,50
2017-2-20,2017-2-20,27538.198653631127,2017,2,20,51
2017-2-21,2017-2-21,12863.379828562773,2017,2,21,52
2017-2-22,2017-2-22,20607.342257172022,2017,2,22,53
2017-2-23,2017-2-23,18433.774515141522,2017,2,23,54
2017-2-24,2017-2-24,18010.86124367267,2017,2,24,55
2017-2-25,2017-2-25,33647.36672981748,2017,2,25,56
2017-2-26,2017-2-26,39535.75657857618,2017,2,26,57
2017-2-27,2017-2-27,26057.377753523913,2017,2,27,58
2017-2-28,2017-2-28,11082.350891620024,2017,2,28,59
2017-3-1,2017-3-1,12952.228086725665,2017,3,1,60
2017-3-2,2017-3-2,29760.288189155843,2017,3,2,61
2017-3-3,2017-3-3,20209.04346698616,2017,3,3,62
2017-3-4,2017-3-4,15544.649662293421,2017,3,4,63
2017-3-5,2017-3-5,35127.05652844968,2017,3,5,64
2017-3-6,2017-3-6,27461.229804214938,2017,3,6,65
2017-3-7,2017-3-7,18843.30516292163,2017,3,7,66
2017-3-8,2017-3-8,14715.426615889597,2017,3,8,67
2017-3-9,2017-3-9,17376.510859346647,2017,3,9,68
2017-3-10,2017-3-10,29097.814750967744,2017,3,10,69
2017-3-11,2017-3-11,21373.812417932375,2017,3,11,70
2017-3-12,2017-3-12,25266.740585870542,2017,3,12,71
2017-3-13,2017-3-13,31613.1626227642,2017,3,13,72
2017-3-14,2017-3-14,18325.97427385234,2017,3,14,73
2017-3-15,2017-3-15,19879.154880525915,2017,3,15,74
2017-3-16,2017-3-16,27455.168636288538,2017,3,16,75
2017-3-17,2017-3-17,22862.609232282037,2017,3,17,76
2017-3-18,2017-3-18,22910.177677665313,2017,3,18,77
2017-3-19,2017-3-19,36892.17088674986,2017,3,19,78
2017-3-20,2017-3-20,32573.41142547901,2017,3,20,79
2017-3-21,2017-3-21,12938.719166474159,2017,3,21,80
2017-3-22,2017-3-22,15335.601128274364,2017,3,22,81
2017-3-23,2017-3-23,21218.71374931935,2017,3,23,82
2017-3-24,2017-3-24,25824.322467525548,2017,3,24,83
2017-3-25,2017-3-25,24410.167607520973,2017,3,25,84
2017-3-26,2017-3-26,32110.801639000445,2017,3,26,85
2017-3-27,2017-3-27,26217.381380478044,2017,3,27,86
2017-3-28,2017-3-28,16185.177703157011,2017,3,28,87
2017-3-29,2017-3-29,24002.255525037825,2017,3,29,88
2017-3-30,2017-3-30,33095.29739410155,2017,3,30,89
2017-3-31,2017-3-31,36062.103164335604,2017,3,31,90
